bugID,sd,clean_text,co,rf_prediction
551988,Update Base builder from 4.13 to build 4.14 M1,update base builder from  to build  m,Releng,Releng
549008,URIMappingRegistryImpl is very inefficient,urimappingregistryimpl is very inefficient,Core,Core
554762,Diagram Delete From Model button is active when it should not be,diagram delete from model button is active when it should not be,Diagram,Diagram
554542,[LFBD] Already existing Logical Function used as root in a LFBD diagram don't have the right color.,lfbd already existing logical function used as root in a lfbd diagram dont have the right color,Diagram,Diagram
549733,[GTK] [API] Query the current system setting for dark mode,gtk api query the current system setting for dark mode,SWT,SWT
553996,Capella adaptation for sirius 2.0.4-S20150129-121027 and [457833],capella adaptation for sirius s and,Core,Releng
553630,[Passage] invent a way to publish general purpose passage bundles for external reuse,passage invent a way to publish general purpose passage bundles for external reuse,Releng,Core
550507,Menu icons are not shown at proper position,menu icons are not shown at proper position,SWT,UI
551810,Eclipse IBuild I20191004-1800 failed.,eclipse ibuild i failed,Releng,Releng
551693,[CSS] Rethink return value behaviour of ICSSPropertyHandler#applyCSSProperty,css rethink return value behaviour of icsspropertyhandlerapplycssproperty,UI,Core
554077,Move CapellaPackageRegistry helper class from addons to core,move capellapackageregistry helper class from addons to core,Core,Core
552552,Develop scripts to add to repo and delete from repo for JIRO use,develop scripts to add to repo and delete from repo for jiro use,Releng,Releng
547558,Formatter for lamda expression,formatter for lamda expression,Core,Releng
552274,[GTK3] Some views are not repainting properly,gtk some views are not repainting properly,SWT,SWT
554078,Delete deprecated business queries tests,delete deprecated business queries tests,Core,Core
549553,Multiple problems have occurred,multiple problems have occurred,SWT,Core
554561,[SAB] Switch category tool does not work on category between 2 parent system functions,sab switch category tool does not work on category between  parent system functions,Diagram,Diagram
548822,[Quick Fix] Bundle x.y.z cannot be resolved => Locate and import project in workspace,quick fix bundle xyz cannot be resolved  locate and import project in workspace,UI,Core
554669,Regression of abstract/primitive class style (border and italic) after acceleo to aql migration,regression of abstractprimitive class style border and italic after acceleo to aql migration,Diagram,Diagram
554287,CommandHandler should pass ExecutionEvent to template methods,commandhandler should pass executionevent to template methods,Core,UI
550057,[Quicksearch] The Quick Text Search dialog and menu item are missing mnemonics,quicksearch the quick text search dialog and menu item are missing mnemonics,UI,UI
550775,Move to release version of 4.13 in build scripts,move to release version of  in build scripts,Releng,Releng
547439,When 2 interfaces with same name implemented the IDE cannot make difference between two,when  interfaces with same name implemented the ide cannot make difference between two,UI,Core
551582,"history input is set twice with ""show first parent"" enabled",history input is set twice with show first parent enabled,UI,Core
547114,NPE at ModuleBinding.addReads(...) on changing Module Dependencies,npe at modulebindingaddreads on changing module dependencies,Core,Core
551175,Umbrella Bug to record infrastructure issues during 4.14,umbrella bug to record infrastructure issues during,Releng,Releng
554562,Remove suffix when creating diagram/scenario and remove duplicate prefix when creating scenario,remove suffix when creating diagramscenario and remove duplicate prefix when creating scenario,Diagram,UI
549558,ToolFilter API Improvements,toolfilter api improvements,Diagram,Core
551708,[win32] Auto Complete Crashes Eclipse - Eclipse Installer Also Crashes With Same Error,win auto complete crashes eclipse  eclipse installer also crashes with same error,SWT,SWT
548587,Performance improvement for SelectionUtils,performance improvement for selectionutils,Core,Releng
554725,"Add ""Control Node"" & ""Sequence Link"" mappings and creation tools",add control node  sequence link mappings and creation tools,Diagram,Diagram
555275,Update kitalpha version to the latest release,update kitalpha version to the latest release,Releng,Releng
549426,"""Using Apache MINA sshd as ssh client"" in log",using apache mina sshd as ssh client in log,Core,UI
552604,Versioning problem in SWT.,versioning problem in swt,SWT,SWT
552521,"[resource]  warning against '<unassigned Closeable value>' is weakened to ""potential"" inside ""if""",resource  warning against unassigned closeable value is weakened to potential inside if,Core,Core
551685,Frequent freezes with Broadway,frequent freezes with broadway,SWT,Core
551545,Adopt new Orbit for Ant 1.10.7,adopt new orbit for ant,Releng,Releng
554614,Show In Diagram should work for multi-selection,show in diagram should work for multiselection,Diagram,Diagram
554215,Capella headless support,capella headless support,Core,Core
551954,[qvtr] Implement the Benchmarx example,qvtr implement the benchmarx example,Core,Core
553748,Update version number in mac's Eclipse.app for 4.15,update version number in macs eclipseapp for,Releng,Releng
554709,Copy/Paste for diagram elements does not work in Team context,copypaste for diagram elements does not work in team context,Diagram,Diagram
554232,Have a clearer error message when referenced VP version is not compatible with installed VP version,have a clearer error message when referenced vp version is not compatible with installed vp version,Core,Core
549186,[GTK] Help box when hovering on Java constant does not completely disappear,gtk help box when hovering on java constant does not completely disappear,SWT,SWT
547941,Workspace image path attribute should be evaluated as an expression,workspace image path attribute should be evaluated as an expression,Diagram,UI
554615,"[PERFORMANCE] Update Capella Basic Feature/Service/Variable interpreters with ""service:"" for mappings to speed up Diagram refresh",performance update capella basic featureservicevariable interpreters with service for mappings to speed up diagram refresh,Diagram,Diagram
550014,Cant import existing local git project,cant import existing local git project,UI,Core
555312,Icon of Capella EXE,icon of capella exe,Releng,UI
549244,[GTK] SWT error with java.lang.UnsatisfiedLinkError,gtk swt error with javalangunsatisfiedlinkerror,SWT,SWT
554543,"When dragNdrop without automatic refresh, ports are not updated",when dragndrop without automatic refresh ports are not updated,Diagram,Diagram
554260,Improve project migration in command line mode and add Unit tests,improve project migration in command line mode and add unit tests,Core,Diagram
552473,Copying from Eclipse console and pasting directly into Gnumeric truncates long selections,copying from eclipse console and pasting directly into gnumeric truncates long selections,SWT,Releng
553336,Do the Javadoc bash for 4.14,do the javadoc bash for,SWT,SWT
549572,OOMPH: support 2019-03 to 2019-12,oomph support  to,Releng,Core
556242,Implementation of COPY and REFERENCE mode,implementation of copy and reference mode,Core,Core
553562,Declare 4.14 RC1,declare  rc,Releng,Releng
552514,[10.15] Some categories in tree not displaying in PreferenceDialog on MacOS 10.15,some categories in tree not displaying in preferencedialog on macos,SWT,SWT
550188,ApiAnalyzer flags false positive error due to extension point schema include,apianalyzer flags false positive error due to extension point schema include,UI,Core
553755,Umbrella Bug to record infrastructure issues during 4.15,umbrella bug to record infrastructure issues during,Releng,Releng
547903,Create new test jobs for 4.13,create new test jobs for,Releng,Releng
548431,Produce signed Windows launcher bundles in the platform repo,produce signed windows launcher bundles in the platform repo,Releng,Releng
553784,[Win32] Do not materialize virtual tree items in toString,win do not materialize virtual tree items in tostring,SWT,SWT
553384,JAR export can leads to module inclusion,jar export can leads to module inclusion,UI,Core
548629,[GTK3.24.9] Text in Trees/Tables is overdrawn,gtk text in treestables is overdrawn,SWT,SWT
551551,Icons should be scaled in the model editor,icons should be scaled in the model editor,UI,UI
550592,Please don't set this org.eclipse.jdt.core.compiler.problem.forbiddenReference=error,please dont set this orgeclipsejdtcorecompilerproblemforbiddenreferenceerror,UI,Core
548612,API report for org.eclipse.core.databinding.observable is missing,api report for orgeclipsecoredatabindingobservable is missing,Releng,Releng
554750,Set description in double click wizard does not work,set description in double click wizard does not work,Diagram,Diagram
550498,N&N for 4.13,nn for,Releng,Releng
548458,[Win32] Reconcile o.e.s.internal.win32.OS and o.e.s.internal.ole.win32.COM,win reconcile oesinternalwinos and oesinternalolewincom,SWT,SWT
554651,Migration to AQL - partition tests OneCallOnCurrent,migration to aql  partition tests onecalloncurrent,Diagram,Diagram
550583,Fix files that have ended up with CRLF in the git repository,fix files that have ended up with crlf in the git repository,Core,Releng
547934,[Snippets] Add SnippetExplorer to filter and launch SWT Snippets,snippets add snippetexplorer to filter and launch swt snippets,SWT,SWT
555580,Reduce REC/RPL usage to semantic elements only,reduce recrpl usage to semantic elements only,UI,Core
552547,[GTK] Drawing artifact,gtk drawing artifact,SWT,SWT
547858,[code mining] add possibility to query CodeMiningProviderRegistry without Text Editor,code mining add possibility to query codeminingproviderregistry without text editor,UI,UI
550922,Javadoc failure in releng in 9 Sept 4.14 build,javadoc failure in releng in  sept  build,Releng,Releng
554372,"The preference to disable display ""invalid""  Physical path in diagram doesn't work",the preference to disable display invalid  physical path in diagram doesnt work,Core,Diagram
