"bugID";"sd";"cl";"pd";"co";"rp";"os";"bs";"rs";"pr";"bsr"
"550000";"PDE quickfix creates invalid @Since tag";"Eclipse Project";"PDE";"API Tools";"PC";"Linux";"VERIFIED";"FIXED";"P3";"normal"
"550001";"Grant access to projects storage service to the Jenkins instance of project TEA";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Linux";"CLOSED";"DUPLICATE";"P3";"normal"
"550002";"Add relation information to REST-API";"Automotive";"MDMBL";"General";"All";"All";"CLOSED";"FIXED";"P3";"major"
"550003";"Provide platform independent plug-in to set the OS dark theme";"Eclipse Project";"Platform";"UI";"PC";"Linux";"CLOSED";"DUPLICATE";"P3";"normal"
"550004";"Inline method refacting reports ""Inaccurate references to method found""";"Eclipse Project";"JDT";"UI";"PC";"Linux";"RESOLVED";"WORKSFORME";"P3";"normal"
"550005";"Call Hierarchy incorrectly includes binary artifacts";"Eclipse Project";"JDT";"Core";"PC";"Linux";"VERIFIED";"WORKSFORME";"P3";"normal"
"550006";"Run APIAnalysisBuilder only when the contents of the preference file has changed";"Eclipse Project";"PDE";"API Tools";"PC";"Windows 7";"NEW";;"P3";"normal"
"550007";"Run PDE compiler only when the contents of the preference file has changed";"Eclipse Project";"PDE";"UI";"PC";"Windows 7";"NEW";;"P3";"normal"
"550008";"UI freezes in PluginsView";"Eclipse Project";"PDE";"UI";"PC";"Linux";"VERIFIED";"FIXED";"P3";"normal"
"550009";"UI freeze in org.eclipse.ui.dialogs.FilteredTree";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"550010";"CPD dialog should have a consistent usage of setUseHashlookup for menu and action tree viewer";"Eclipse Project";"Platform";"UI";"PC";"All";"RESOLVED";"FIXED";"P3";"normal"
"550011";"OpenJ9: Git failing on master, builds blocked";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Linux";"CLOSED";"FIXED";"P3";"critical"
"550012";"OpenJ9 Badge plugin not working";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Linux";"CLOSED";"FIXED";"P3";"normal"
"550013";"OpenJ9 Pull requests flooded with comments from Jenkins";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Linux";"CLOSED";"FIXED";"P3";"normal"
"550014";"Cant import existing local git project";"Technology";"EGit";"UI";"PC";"Windows 10";"NEW";;"P3";"normal"
"550016";"Remove ResourceNavigator from Show-in menu";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"550017";"[StyledText] Disabling StyledText moves insertion position to 0";"Eclipse Project";"Platform";"SWT";"PC";"Linux";"VERIFIED";"FIXED";"P3";"normal"
"550018";"Project Explorer loses last selected working set";"Eclipse Project";"Platform";"UI";"PC";"Windows 10";"CLOSED";"WONTFIX";"P3";"normal"
"550019";"Go build on Codewind failed with signal killed";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Mac OS X";"CLOSED";"WORKSFORME";"P3";"normal"
"550020";"quick search preview area too small";"Eclipse Project";"Platform";"Text";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"trivial"
"550021";"Wrong tooltips quicksearch preference page";"Eclipse Project";"Platform";"Text";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"trivial"
"550022";"[GTK] Long delay in deleting all items from a virtual table";"Eclipse Project";"Platform";"SWT";"PC";"Linux";"NEW";;"P3";"normal"
"550023";"Use setUseHashlookup in internal org.eclipse.e4.ui.dialogs.filteredtree.FilteredTree";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"550024";"Update find_strings query to show detailed progress";"Tools";"MAT";"Core";"PC";"Mac OS X";"RESOLVED";"FIXED";"P3";"normal"
"550025";"OpenJ9 CI IOException: cannot allocation memory for RandomAccessFile";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Mac OS X";"CLOSED";"FIXED";"P3";"normal"
"550026";"Use e4 FilteredTree in LogView";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"550027";"Use e4 FilteredTree in ShowView dialog";"Eclipse Project";"Platform";"UI";"PC";"Linux";"CLOSED";"WONTFIX";"P3";"normal"
"550028";"Use e4 FilteredTree in InstalledIUGroup";"Eclipse Project";"Equinox";"p2";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"550029";"multiple layout issues in launch configuration dialog";"Eclipse Project";"Platform";"Debug";"PC";"Windows 10";"CLOSED";"WONTFIX";"P3";"minor"
"550030";"Release e4 FilteredTree as API";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"550031";"[Quicksearch] superfluous slash in path";"Eclipse Project";"Platform";"UI";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"trivial"
"550032";"[test][12] disagreements vs. javac at 12";"Eclipse Project";"JDT";"Core";"PC";"Linux";"NEW";;"P3";"normal"
"550033";"Redirect to relative path is blocked";"Technology";"JGit";"JGit";"PC";"Mac OS X";"RESOLVED";"FIXED";"P3";"normal"
"550034";"Use project scheduling rule for PluginModelManager job";"Eclipse Project";"PDE";"UI";"PC";"Linux";"NEW";;"P3";"normal"
"550035";"Remove unnecessary activator WebBrowserTestsPlugin";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"550036";"Update application model code (EMF) with the fixes for Bug 548575 and Bug 546714";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"550037";"Use StringBuilder instead of StringBuffer in eclipse.platform.ua";"Eclipse Project";"Platform";"User Assistance";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"550038";"Investigate if forced activation in InternalPlatform#start is still necessary";"Eclipse Project";"Platform";"Runtime";"PC";"All";"RESOLVED";"FIXED";"P3";"normal"
"550039";"Y build showing comparator error in platform.ua for jsp files";"Eclipse Project";"Platform";"Releng";"All";"All";"RESOLVED";"WONTFIX";"P3";"normal"
"550040";"Eclipse Genie fails to create CQ repeatedly";"Eclipse Foundation";"Community";"Gerrit";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"major"
"550041";"Cannot set a decorator to change the width of connections";"Modeling";"Graphiti";"Core";"All";"All";"ASSIGNED";;"P3";"enhancement"
"550042";"[Quicksearch] Ignored file extensions must be checked case insensitive";"Eclipse Project";"Platform";"UI";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"minor"
"550043";"Release preparations for v0.7.0";"Technology";"Ease";"General";"All";"All";"CLOSED";"FIXED";"P3";"normal"
"550044";"2 compile warnings in official build";"Eclipse Project";"JDT";"UI";"All";"All";"VERIFIED";"FIXED";"P3";"normal"
"550045";"[C++ CodeGen] Should enable to call a method via reference in the entry behavior of a the starting state of state machine";"Modeling";"Papyrus";"Designer";"PC";"Windows 10";"ASSIGNED";;"P3";"normal"
"550046";"Remove copied TextUtils again";"Modeling";"ECP";"EMF Forms";"All";"All";"NEW";;"P3";"minor"
"550047";"EASE JIPP does not trigger on gerrit commits";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Linux";"CLOSED";"FIXED";"P3";"normal"
"550048";"Remove ""Are you sure you want to "" from text";"Eclipse Project";"Platform";"Debug";"PC";"Linux";"RESOLVED";"WONTFIX";"P3";"normal"
"550049";"Remove ""Are you sure you want to "" from text";"Eclipse Project";"PDE";"UI";"PC";"Linux";"VERIFIED";"FIXED";"P3";"normal"
"550050";"All coonections are black in the editor that is open at start";"IoT";"4DIAC";"4DIAC-IDE";"PC";"Windows 10";"CLOSED";"FIXED";"P3";"normal"
"550051";"Engine termination should be improved";"Technology";"Ease";"Engines";"All";"All";"CLOSED";"FIXED";"P3";"normal"
"550052";"Remove ""Are you sure you want to "" from text";"Eclipse Project";"Equinox";"p2";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"550053";"http://www.eclipse.org/QVT/1.0.0/Operational is not properly registered.";"Modeling";"QVTo";"Engine";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"550054";"Update PDE templates to not use deprecated AbstractUIPlugin#imageDescriptorFromPlugin";"Eclipse Project";"PDE";"UI";"PC";"Linux";"VERIFIED";"FIXED";"P3";"normal"
"550055";"Import existing projects wizard does not close project imported from archive";"Eclipse Project";"Platform";"UI";"PC";"Linux";"CLOSED";"DUPLICATE";"P3";"normal"
"550056";"[Quicksearch] Missing menu item for Quick Text Search";"Eclipse Project";"Platform";"UI";"All";"All";"RESOLVED";"WORKSFORME";"P3";"normal"
"550057";"[Quicksearch] The Quick Text Search dialog and menu item are missing mnemonics";"Eclipse Project";"Platform";"UI";"All";"All";"RESOLVED";"FIXED";"P3";"normal"
"550058";"[Quicksearch] Name mismatch in UI and N&N";"Eclipse Project";"Platform";"UI";"All";"All";"RESOLVED";"FIXED";"P3";"normal"
"550059";"[styled text] Typing ~~ in combination with ²&~# inserts é~~";"Eclipse Project";"Platform";"SWT";"PC";"Windows All";"VERIFIED";"FIXED";"P3";"normal"
"550060";"Run the new Use Autoboxing - Use Unboxing cleanup on eclipse.platform.ui";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"WORKSFORME";"P3";"normal"
"550061";"Change Title bar of systemconfiguration editor to better indicate that it is the system configuration";"IoT";"4DIAC";"4DIAC-IDE";"PC";"Linux";"CLOSED";"FIXED";"P3";"normal"
"550062";"Use ArrayDeque rather than Stack";"Eclipse Project";"PDE";"UI";"PC";"Linux";"VERIFIED";"FIXED";"P3";"normal"
