bugID,sd,clean_text,co
554737,Remove all OA in OAIB and Functions in XDFB diagram does not work,remove all oa in oaib and functions in xdfb diagram does not work,Diagram
553280,[Mac] Tables containing images have header same size of the row and the table scrolls under the header it self,mac tables containing images have header same size of the row and the table scrolls under the header it self,SWT
551319,[Cocoa][Win] ToolItem.setDisabledImage() JUnit test failure,cocoawin toolitemsetdisabledimage junit test failure,SWT
551217,NPE in AdapterFactoryContentProvider.getPropertySource() when opening model compare,npe in adapterfactorycontentprovidergetpropertysource when opening model compare,UI
552893,Activate JDT postfix completion by default,activate jdt postfix completion by default,UI
555557,"Pattern, REC/RPL, Show Qualified Name, Modelling Accelerators appear in all popup menus",pattern recrpl show qualified name modelling accelerators appear in all popup menus,UI
547435,[GTK] Table.setSortDirection shows reverse direction,gtk tablesetsortdirection shows reverse direction,SWT
555270,Update to sirius 3.1.0-S20150820-082835,update to sirius s,Releng
548316,Update Base builder to 4.12 to build 4.13 M1,update base builder to  to build  m,Releng
554522,[F2] CDB IDB CDI CEI and management on Node Container inner element direct edit shall edit name of business element,f cdb idb cdi cei and management on node container inner element direct edit shall edit name of business element,Diagram
548583,Remove 32 bit reference from WorkbenchSessionTest,remove  bit reference from workbenchsessiontest,UI
554430,Can't save Ecore Tools diagrams in Capella,cant save ecore tools diagrams in capella,Core
554237,Ensure that bodies of OpaqueExpression are never null,ensure that bodies of opaqueexpression are never null,Core
551158,Always use new qualifier for ISV doc plug-ins to get rid of manual touching,always use new qualifier for isv doc plugins to get rid of manual touching,Releng
556271,StringEqual predicate shall allow empty value,stringequal predicate shall allow empty value,Core
553883,Please fix the problems associated with your simrel contribution,please fix the problems associated with your simrel contribution,Releng
554604,Prevent double refreshs on tools using CapellaServices.forceRefresh() when Automatic Refresh is enabled,prevent double refreshs on tools using capellaservicesforcerefresh when automatic refresh is enabled,Diagram
554638,Fix issues for computed links between parent components,fix issues for computed links between parent components,Diagram
553472,NPE while resolving module javadoc,npe while resolving module javadoc,Core
547323,[product] manifest editor should not remove header comment on save,product manifest editor should not remove header comment on save,UI
551607,[CommonNavigator] Common filters tab should use SWT.ICON_CANCEL,commonnavigator common filters tab should use swticon_cancel,UI
548286,[GTK] Clean up system color CSS parsing,gtk clean up system color css parsing,SWT
553497,[ELK] Arrange new elements at diagram opening,elk arrange new elements at diagram opening,Diagram
554365,"After clone diagram the referencing , Current ans Referenced element are not copied",after clone diagram the referencing  current ans referenced element are not copied,Core
551394,Enable tycho strict bin includes,enable tycho strict bin includes,Releng
550458,Eclipse 4.13 prerequisites for RC1: Orbit,eclipse  prerequisites for rc orbit,Releng
553250,"[ELK] The ""Authorized side"" constraint for a border node is not considered by ELK layout",elk the authorized side constraint for a border node is not considered by elk layout,Diagram
547512,[Mac] Header separator line not drawn for Table/Tree in eclipse,mac header separator line not drawn for tabletree in eclipse,SWT
552084,"Seeing extra ""Input Methods"" as menu option.",seeing extra input methods as menu option,SWT
550324,[mac] Rendering problem in Java editor views with long lines,mac rendering problem in java editor views with long lines,SWT
553642,Update Base builder from 4.14 RC1 to build 4.14 RC2,update base builder from  rc to build  rc,Releng
553191,[results] Fix compiler warnings in o.e.test.performance.ui,results fix compiler warnings in oetestperformanceui,Releng
548057,[Preferences] Add Color Previews in 'Appearance color options' table on 'Text Editors' preference page,preferences add color previews in appearance color options table on text editors preference page,UI
548654,Add check to detect version mismatch in SWT host plugin and fragment,add check to detect version mismatch in swt host plugin and fragment,Releng
550766,Create 4.14-I-builds repo,create ibuilds repo,Releng
551053,Catch exceptions on session close with dirty state because a distant resource is not reachable,catch exceptions on session close with dirty state because a distant resource is not reachable,Diagram
554192,Remove AutoLoad test suites,remove autoload test suites,Core
549942,Impossible to compile CDT 2019-09 using Eclipse 2019-09 M2 with JDT 3.18.100.v20190801-0600,impossible to compile cdt  using eclipse  m with jdt v,Core
548476,withdraw Java12-preview-version of switch expressions to fix completion,withdraw javapreviewversion of switch expressions to fix completion,Core
550677,Sign Mac native libraries,sign mac native libraries,Releng
552657,Migrate old builds cleanup job to JIRO,migrate old builds cleanup job to jiro,Releng
551305,Java Doc error in I20190919-1800,java doc error in i,Core
555250,Experimental Platform build,experimental platform build,Releng
549742,Test results from linux machines are not present for some builds,test results from linux machines are not present for some builds,Releng
550497,Readme file for 4.13,readme file for,Releng
552891,"different sort order in ""Replace with"" dialog",different sort order in replace with dialog,UI
554626,No Impact Analysis when deleting Pre/Post Condition on Sequence diagram,no impact analysis when deleting prepost condition on sequence diagram,Diagram
552747,[ELK] Layout initialization of container elements,elk layout initialization of container elements,Diagram
551530,[Diagram][WelcomePage][Internationalization] NullPointerException with the checkbox Use internationalization,diagramwelcomepageinternationalization nullpointerexception with the checkbox use internationalization,Diagram
553244,Find Actions shows chevron menu icon and not the new Kebab icon,find actions shows chevron menu icon and not the new kebab icon,UI
554504,New conditional style in xDFB,new conditional style in xdfb,Diagram
555521,Inconsistent naming for new Physical Components,inconsistent naming for new physical components,UI
551456,SWT Image auto scaling with nattable v1.5 and v1.6,swt image auto scaling with nattable v and v,SWT
555295,Build model of addons version 1.0.0,build model of addons version,Releng
547608,Update Base builder to 4.12 M3 to build 4.12 RC1,update base builder to  m to build  rc,Releng
552186,RCP-Application crashes using MSCTF.dll,rcpapplication crashes using msctfdll,SWT
547768,[GTK3] Eclipse randomly crashes in WindowBuilder Swing Designer,gtk eclipse randomly crashes in windowbuilder swing designer,SWT
555317,New target + maven profile for addons,new target  maven profile for addons,Releng
549893,Replace usage of PDELaunchingPlugin.getWorkspace() with ResourcesPlugin.getWorkspace(),replace usage of pdelaunchingplugingetworkspace with resourcesplugingetworkspace,UI
553428,Message for post commit hook is misleading,message for post commit hook is misleading,Core
554028,Logical Component Decomposition wizard not working,logical component decomposition wizard not working,Core
549814,[10.15] Notarize Mac app,notarize mac app,Releng
554502,[CDB] Display cardinality even if related role is not navigable,cdb display cardinality even if related role is not navigable,Diagram
553678,Update GTK min version to 3.14,update gtk min version to,SWT
554761,Creation of the Physical Path when created on PAB owned by Root Package,creation of the physical path when created on pab owned by root package,Diagram
554763,CE and PL shall be stored in common ancestor (Component or ComponentPkg),ce and pl shall be stored in common ancestor component or componentpkg,Diagram
553572,Could not complete job. org.eclipse.swt.SWTException Invalid thread access,could not complete job orgeclipseswtswtexception invalid thread access,SWT
554337,Size of log-monitoring file,size of logmonitoring file,Core
555245,[Build] Add platforms linux 32/64,build add platforms linux,Releng
550846,[releng] build fails after upgrading to Guava 27.1,releng build fails after upgrading to guava,Releng
555592,NPE in TransferView when execute button is clicked,npe in transferview when execute button is clicked,UI
553746,Move previous version to 4.14RC2 across build scripts,move previous version to rc across build scripts,Releng
548821,[Mac] Fix unified ToolBar layout,mac fix unified toolbar layout,SWT
548242,API Analysis in Tycho build fail for dependencies which have nested jars,api analysis in tycho build fail for dependencies which have nested jars,Releng
552550,Create a script to get eclipse platform product from latest release,create a script to get eclipse platform product from latest release,Releng
550406,GatewayValidator ignores MIXED type,gatewayvalidator ignores mixed type,Core
