bugID,actual_co,gemini_prediction
551988,Releng,Releng
549008,Core,Core
554762,Diagram,Diagram
554542,Diagram,UI
549733,SWT,UI
553996,Core,UI
553630,Releng,Core
550507,SWT,UI
551810,Releng,Releng
551693,UI,Core
554077,Core,Core
552552,Releng,Releng
547558,Core,Core
552274,SWT,SWT
554078,Core,Core
549553,SWT,Core
554561,Diagram,UI
548822,UI,UI
554669,Diagram,UI
554287,Core,Core
550057,UI,UI
550775,Releng,Releng
547439,UI,Core
551582,UI,UI
547114,Core,Core
551175,Releng,Releng
554562,Diagram,Diagram
549558,Diagram,Core
551708,SWT,UI
548587,Core,Core
554725,Diagram,Diagram
555275,Releng,Releng
549426,Core,Core
552604,SWT,SWT
552521,Core,Core
551685,SWT,UI
551545,Releng,Releng
554614,Diagram,Diagram
554215,Core,Core
551954,Core,Core
553748,Releng,Releng
554709,Diagram,Diagram
554232,Core,UI
549186,SWT,SWT
547941,Diagram,Core
554615,Diagram,Diagram
550014,UI,Core
555312,Releng,UI
549244,SWT,SWT
554543,Diagram,UI
554260,Core,Core
552473,SWT,UI
553336,SWT,Core
549572,Releng,Releng
556242,Core,Core
553562,Releng,Releng
552514,SWT,UI
550188,UI,Core
553755,Releng,Releng
547903,Releng,Releng
548431,Releng,Releng
553784,SWT,UI
553384,UI,Core
548629,SWT,SWT
551551,UI,UI
550592,UI,Core
548612,Releng,Core
554750,Diagram,UI
550498,Releng,Releng
548458,SWT,Core
554651,Diagram,Core
550583,Core,Releng
547934,SWT,UI
555580,UI,Core
552547,SWT,SWT
547858,UI,Core
550922,Releng,Releng
554372,Core,Diagram
547557,SWT,SWT
555274,Releng,Releng
547606,Releng,Releng
554767,Diagram,UI
552373,SWT,UI
552122,SWT,Core
551589,UI,UI
550332,Diagram,Diagram
550828,UI,UI
550082,UI,Core
552970,UI,UI
551335,SWT,UI
554581,Diagram,UI
555488,UI,UI
555504,UI,UI
549986,Releng,Releng
555264,Releng,Diagram
548960,SWT,SWT
551345,UI,Core
547030,SWT,SWT
554723,Diagram,Diagram
554703,Diagram,UI
551173,Releng,Releng
552834,Releng,Releng
554676,Diagram,Core
551628,UI,UI
550334,UI,Core
553360,SWT,UI
547362,Core,Core
552952,UI,UI
551333,UI,Core
552063,SWT,UI
549616,UI,Core
548118,UI,UI
554730,Diagram,Diagram
554612,Diagram,Core
547093,SWT,SWT
554705,Diagram,UI
554008,Core,UI
549198,Core,Core
554351,Core,UI
554660,Diagram,Core
554350,Core,Core
554757,Diagram,Core
554389,Core,Diagram
555594,UI,UI
552998,UI,UI
552096,SWT,SWT
554747,Diagram,Core
547192,SWT,SWT
554189,Core,Core
552954,UI,UI
547991,Core,Core
547924,Releng,Releng
551824,SWT,UI
554582,Diagram,Diagram
550937,SWT,SWT
555316,Releng,Releng
548047,UI,UI
553038,Releng,Core
551211,UI,UI
554749,Diagram,UI
554536,Diagram,Core
554527,Diagram,UI
554533,Diagram,UI
550301,UI,UI
553339,Releng,Releng
548568,Core,Core
554590,Diagram,Diagram
554106,Core,Core
554653,Diagram,Core
553415,Releng,Releng
547668,Releng,Releng
548372,Core,Core
554489,Core,Diagram
550774,Releng,Releng
548577,SWT,UI
554263,Core,Releng
548379,Core,Releng
554163,Core,Core
550018,UI,UI
554211,Core,Core
550440,SWT,SWT
548295,Releng,Releng
554410,Core,Core
554225,Core,UI
547579,UI,UI
555527,UI,Diagram
554714,Diagram,Diagram
549887,Diagram,UI
550875,Releng,Releng
555261,Releng,Releng
551433,UI,UI
550869,UI,UI
551750,UI,UI
554695,Diagram,UI
549932,SWT,SWT
554209,Core,Core
553073,SWT,SWT
547902,Releng,Releng
554479,Core,Diagram
552663,UI,UI
549593,SWT,UI
556237,Core,Core
547811,SWT,SWT
555284,Releng,Core
554682,Diagram,Core
554662,Diagram,Core
551982,SWT,SWT
547717,Releng,Releng
555564,UI,UI
553033,Releng,Releng
547772,UI,UI
554153,Core,UI
548320,SWT,SWT
549101,SWT,SWT
554659,Diagram,Diagram
550873,Releng,Releng
553866,Diagram,Diagram
555254,Releng,Core
550619,Core,Core
550606,SWT,UI
